rid,bench,regime,checker,model,qvariant,score,cand_words,doc_tokens,cand_tokens,truncated,cand_in_retained,extra
33,qasper,clean,hhem,HHEM-2.1-open,none,0.3490666151046753,3,11,6,0,1,
48,qasper,clean,hhem,HHEM-2.1-open,none,0.3490666151046753,3,11,6,0,1,
72,qasper,clean,hhem,HHEM-2.1-open,none,0.3490666151046753,3,11,6,0,1,
117,qasper,clean,hhem,HHEM-2.1-open,none,0.3490666151046753,3,11,6,0,1,
159,qasper,clean,hhem,HHEM-2.1-open,none,0.3490666151046753,3,11,6,0,1,
162,qasper,clean,hhem,HHEM-2.1-open,none,0.3490666151046753,3,11,6,0,1,
165,qasper,clean,hhem,HHEM-2.1-open,none,0.3490666151046753,3,11,6,0,1,
213,qasper,clean,hhem,HHEM-2.1-open,none,0.3490666151046753,3,11,6,0,1,
231,qasper,clean,hhem,HHEM-2.1-open,none,0.3490666151046753,3,11,6,0,1,
276,qasper,clean,hhem,HHEM-2.1-open,none,0.3490666151046753,3,11,6,0,1,
297,qasper,clean,hhem,HHEM-2.1-open,none,0.3490666151046753,3,11,6,0,1,
300,qasper,clean,hhem,HHEM-2.1-open,none,0.3490666151046753,3,11,6,0,1,
34,qasper,targeted,hhem,HHEM-2.1-open,none,0.5706003904342651,6,11,11,0,1,
49,qasper,targeted,hhem,HHEM-2.1-open,none,0.5706003904342651,6,11,11,0,1,
73,qasper,targeted,hhem,HHEM-2.1-open,none,0.5706003904342651,6,11,11,0,1,
118,qasper,targeted,hhem,HHEM-2.1-open,none,0.5706003904342651,6,11,11,0,1,
160,qasper,targeted,hhem,HHEM-2.1-open,none,0.5706003904342651,6,11,11,0,1,
163,qasper,targeted,hhem,HHEM-2.1-open,none,0.5706003904342651,6,11,11,0,1,
166,qasper,targeted,hhem,HHEM-2.1-open,none,0.5706003904342651,6,11,11,0,1,
214,qasper,targeted,hhem,HHEM-2.1-open,none,0.5706003904342651,6,11,11,0,1,
232,qasper,targeted,hhem,HHEM-2.1-open,none,0.5706003904342651,6,11,11,0,1,
277,qasper,targeted,hhem,HHEM-2.1-open,none,0.5706003904342651,6,11,11,0,1,
298,qasper,targeted,hhem,HHEM-2.1-open,none,0.5706003904342651,6,11,11,0,1,
301,qasper,targeted,hhem,HHEM-2.1-open,none,0.5706003904342651,6,11,11,0,1,
50,qasper,random,hhem,HHEM-2.1-open,none,0.015081983059644699,17,11,19,0,1,
25,qasper,targeted,hhem,HHEM-2.1-open,none,0.8135342001914978,9,28,10,0,1,
74,qasper,random,hhem,HHEM-2.1-open,none,0.006422698963433504,18,11,28,0,1,
164,qasper,random,hhem,HHEM-2.1-open,none,0.02036595158278942,18,11,28,0,1,
161,qasper,random,hhem,HHEM-2.1-open,none,0.02141791395843029,22,11,32,0,1,
24,qasper,clean,hhem,HHEM-2.1-open,none,0.9542263746261597,14,28,17,0,1,
119,qasper,random,hhem,HHEM-2.1-open,none,0.005725170951336622,29,11,37,0,1,
26,qasper,random,hhem,HHEM-2.1-open,none,0.008469595573842525,13,28,24,0,1,
61,qasper,targeted,hhem,HHEM-2.1-open,none,0.9171686768531799,8,45,9,0,1,
35,qasper,random,hhem,HHEM-2.1-open,none,0.007863553240895271,32,11,45,0,1,
233,qasper,random,hhem,HHEM-2.1-open,none,0.03335239738225937,42,11,47,0,1,
60,qasper,clean,hhem,HHEM-2.1-open,none,0.7116665244102478,16,45,26,0,1,
47,qasper,random,hhem,HHEM-2.1-open,none,0.07285713404417038,3,73,6,0,1,
54,qasper,clean,hhem,HHEM-2.1-open,none,0.9528560042381287,13,69,24,0,1,
299,qasper,random,hhem,HHEM-2.1-open,none,0.057463642209768295,53,11,84,0,1,
69,qasper,clean,hhem,HHEM-2.1-open,none,0.8267804384231567,9,88,11,0,1,
70,qasper,targeted,hhem,HHEM-2.1-open,none,0.9340395331382751,8,88,12,0,1,
111,qasper,clean,hhem,HHEM-2.1-open,none,0.9351617693901062,6,93,7,0,1,
215,qasper,random,hhem,HHEM-2.1-open,none,0.029797609895467758,66,11,90,0,1,
302,qasper,random,hhem,HHEM-2.1-open,none,0.029797609895467758,66,11,90,0,1,
219,qasper,clean,hhem,HHEM-2.1-open,none,0.9559018015861511,6,94,9,0,1,
45,qasper,clean,hhem,HHEM-2.1-open,none,0.7213597297668457,22,73,32,0,1,
167,qasper,random,hhem,HHEM-2.1-open,none,0.013546120375394821,73,11,94,0,1,
44,qasper,random,hhem,HHEM-2.1-open,none,0.0018810235196724534,6,97,9,0,1,
42,qasper,clean,hhem,HHEM-2.1-open,none,0.056706398725509644,8,97,11,0,1,
46,qasper,targeted,hhem,HHEM-2.1-open,none,0.8781675696372986,29,73,37,0,1,
226,qasper,targeted,hhem,HHEM-2.1-open,none,0.9029965996742249,19,92,26,0,1,
43,qasper,targeted,hhem,HHEM-2.1-open,none,0.9199691414833069,20,97,22,0,1,
71,qasper,random,hhem,HHEM-2.1-open,none,0.014391430653631687,21,88,31,0,1,
225,qasper,clean,hhem,HHEM-2.1-open,none,0.9585062265396118,18,92,28,0,1,
2,qasper,random,hhem,HHEM-2.1-open,none,0.020130451768636703,11,106,16,0,1,
106,qasper,targeted,hhem,HHEM-2.1-open,none,0.954201340675354,17,97,25,0,1,
280,qasper,targeted,hhem,HHEM-2.1-open,none,0.865709662437439,11,106,16,0,1,
