rid,bench,regime,checker,model,qvariant,score,cand_words,doc_tokens,cand_tokens,truncated,cand_in_retained,extra
0,qasper,clean,qa_relevance,ms-marco-MiniLM-L6-v2,orig,10.287572860717773,32,0,0,0,1,
1,qasper,targeted,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-10.367074966430664,22,0,0,0,1,
2,qasper,random,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-11.404439926147461,11,0,0,0,1,
3,qasper,clean,qa_relevance,ms-marco-MiniLM-L6-v2,orig,11.07315444946289,8,0,0,0,1,
4,qasper,targeted,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-11.299631118774414,15,0,0,0,1,
5,qasper,random,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-11.290301322937012,15,0,0,0,1,
6,qasper,clean,qa_relevance,ms-marco-MiniLM-L6-v2,orig,10.15103816986084,15,0,0,0,1,
7,qasper,targeted,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-10.817961692810059,23,0,0,0,1,
8,qasper,random,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-11.375860214233398,23,0,0,0,1,
9,qasper,clean,qa_relevance,ms-marco-MiniLM-L6-v2,orig,6.1992902755737305,43,0,0,0,1,
10,qasper,targeted,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-10.907914161682129,40,0,0,0,1,
11,qasper,random,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-7.059789657592773,7,0,0,0,1,
12,qasper,clean,qa_relevance,ms-marco-MiniLM-L6-v2,orig,7.792124271392822,20,0,0,0,1,
13,qasper,targeted,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-9.981304168701172,22,0,0,0,1,
14,qasper,random,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-10.696817398071289,66,0,0,0,1,
15,qasper,clean,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-9.459160804748535,3,0,0,0,1,
16,qasper,targeted,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-11.309098243713379,12,0,0,0,1,
17,qasper,random,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-11.081485748291016,33,0,0,0,1,
18,qasper,clean,qa_relevance,ms-marco-MiniLM-L6-v2,orig,9.504608154296875,93,0,0,0,1,
19,qasper,targeted,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-11.316828727722168,17,0,0,0,1,
20,qasper,random,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-11.317017555236816,29,0,0,0,1,
21,qasper,clean,qa_relevance,ms-marco-MiniLM-L6-v2,orig,10.656639099121094,9,0,0,0,1,
22,qasper,targeted,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-11.337539672851562,32,0,0,0,1,
23,qasper,random,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-11.221288681030273,45,0,0,0,1,
24,qasper,clean,qa_relevance,ms-marco-MiniLM-L6-v2,orig,9.642152786254883,14,0,0,0,1,
25,qasper,targeted,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-10.885818481445312,9,0,0,0,1,
26,qasper,random,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-10.647574424743652,13,0,0,0,1,
27,qasper,clean,qa_relevance,ms-marco-MiniLM-L6-v2,orig,9.615306854248047,7,0,0,0,1,
28,qasper,targeted,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-11.400153160095215,32,0,0,0,1,
29,qasper,random,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-11.337839126586914,18,0,0,0,1,
30,qasper,clean,qa_relevance,ms-marco-MiniLM-L6-v2,orig,9.621045112609863,11,0,0,0,1,
31,qasper,targeted,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-10.013738632202148,23,0,0,0,1,
32,qasper,random,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-10.619401931762695,16,0,0,0,1,
33,qasper,clean,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-10.437539100646973,3,0,0,0,1,
34,qasper,targeted,qa_relevance,ms-marco-MiniLM-L6-v2,orig,-10.597807884216309,6,0,0,0,1,
