rid,bench,regime,checker,model,qvariant,score,cand_words,doc_tokens,cand_tokens,truncated,cand_in_retained,extra
0,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.9931640625,32,104,42,0,1,
1,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.974609375,22,104,24,0,1,
2,qasper,random,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.007396697998046875,11,104,13,0,1,
3,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.08966064453125,8,221,10,0,1,
4,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.99267578125,15,221,17,0,1,
5,qasper,random,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.0010480880737304688,15,221,20,0,1,
6,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.97509765625,15,166,16,0,1,
7,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.4609375,23,166,39,0,1,
8,qasper,random,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.00963592529296875,23,166,43,0,1,
9,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.99560546875,43,163,54,0,1,
10,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.52978515625,40,163,52,0,1,
11,qasper,random,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.00036978721618652344,7,163,9,0,1,
12,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.998046875,20,225,22,0,1,
13,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.990234375,22,225,24,0,1,
14,qasper,random,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.105224609375,66,225,78,0,1,
15,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.37109375,3,273,6,0,1,
16,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.80224609375,12,273,21,0,1,
17,qasper,random,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.5732421875,33,273,36,0,1,
18,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.30517578125,93,317,127,0,1,
19,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.044647216796875,17,317,25,0,1,
20,qasper,random,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.0229034423828125,29,317,31,0,1,
21,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.001537322998046875,9,184,11,0,1,
22,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.9326171875,32,184,36,0,1,
23,qasper,random,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.08367919921875,45,184,50,0,1,
24,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.98486328125,14,25,15,0,1,
25,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.98779296875,9,25,10,0,1,
26,qasper,random,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.001071929931640625,13,25,18,0,1,
27,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.80517578125,7,136,9,0,1,
28,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.04998779296875,32,136,36,0,1,
29,qasper,random,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.01111602783203125,18,136,29,0,1,
30,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.97314453125,11,217,17,0,1,
31,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.98095703125,23,217,32,0,1,
32,qasper,random,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.0004088878631591797,16,217,17,0,1,
33,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.328857421875,3,8,6,0,1,
34,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.9912109375,6,8,8,0,1,
35,qasper,random,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.04486083984375,32,8,42,0,1,
36,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.402099609375,113,864,150,1,1,
37,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.734375,27,864,40,1,1,
38,qasper,random,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.414794921875,23,864,41,1,1,
39,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.98828125,19,180,20,0,1,
40,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.97802734375,34,180,52,0,1,
41,qasper,random,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.0029430389404296875,19,180,23,0,1,
42,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.49169921875,8,89,10,0,1,
43,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.99365234375,20,89,22,0,1,
44,qasper,random,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.0007338523864746094,6,89,9,0,1,
45,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.974609375,22,58,25,0,1,
46,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.9814453125,29,58,32,0,1,
47,qasper,random,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.04168701171875,3,58,6,0,1,
48,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.328857421875,3,8,6,0,1,
49,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.9912109375,6,8,8,0,1,
50,qasper,random,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.0007085800170898438,17,8,18,0,1,
51,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.998046875,17,149,28,0,1,
52,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.99853515625,9,149,12,0,1,
53,qasper,random,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.11358642578125,35,149,53,0,1,
54,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.98486328125,13,55,18,0,1,
55,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.97509765625,33,55,46,0,1,
56,qasper,random,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.0223236083984375,36,55,69,0,1,
57,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.9296875,19,179,23,0,1,
58,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.57470703125,31,179,37,0,1,
59,qasper,random,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.047698974609375,11,179,17,0,1,
60,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.62109375,16,41,24,0,1,
61,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.98779296875,8,41,9,0,1,
62,qasper,random,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.0692138671875,36,41,69,0,1,
63,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.66796875,42,422,67,0,1,
64,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.369873046875,30,422,40,0,1,
65,qasper,random,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.0733642578125,105,422,140,1,1,
66,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.9921875,63,213,70,0,1,
67,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.65380859375,33,213,39,0,1,
68,qasper,random,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.0018682479858398438,16,213,24,0,1,
69,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.994140625,9,84,12,0,1,
70,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.9970703125,8,84,10,0,1,
71,qasper,random,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.57666015625,21,84,27,0,1,
72,qasper,clean,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.328857421875,3,8,6,0,1,
73,qasper,targeted,nli,DeBERTa-v3-base-mnli-fever-anli,none,0.9912109375,6,8,8,0,1,
