"experiment","phase","path","n","n_correct","accuracy_pct"
"bcp_gpt41_seed42","P3-AC","ac_only","200","180","90.0"
"bcp_gpt41_seed42","P3-Hybrid","cache_fallback","8","5","62.5"
"bcp_gpt41_seed42","P3-Hybrid","cache_hit_no_hint","19","19","100.0"
"bcp_gpt41_seed42","P3-Hybrid","cache_miss","66","47","71.2"
"bcp_gpt41_seed42","P3-Hybrid","cache_verified","106","106","100.0"
"bcp_gpt41_seed42","P3-Hybrid","unknown","1","0","0.0"
"bcp_gpt41_seed42","P4-AC","ac_only","200","150","75.0"
"bcp_gpt41_seed42","P4-Hybrid","cache_fallback","37","30","81.1"
"bcp_gpt41_seed42","P4-Hybrid","cache_hit_no_hint","24","19","79.2"
"bcp_gpt41_seed42","P4-Hybrid","cache_miss","66","43","65.2"
"bcp_gpt41_seed42","P4-Hybrid","cache_verified","72","72","100.0"
"bcp_gpt41_seed42","P4-Hybrid","unknown","1","0","0.0"
"bcp_gpt41_seed7","P3-AC","ac_only","200","174","87.0"
"bcp_gpt41_seed7","P3-Hybrid","cache_fallback","10","9","90.0"
"bcp_gpt41_seed7","P3-Hybrid","cache_hit_no_hint","12","12","100.0"
"bcp_gpt41_seed7","P3-Hybrid","cache_miss","64","38","59.4"
"bcp_gpt41_seed7","P3-Hybrid","cache_verified","112","111","99.1"
"bcp_gpt41_seed7","P3-Hybrid","unknown","2","0","0.0"
"bcp_gpt41_seed7","P4-AC","ac_only","200","144","72.0"
"bcp_gpt41_seed7","P4-Hybrid","cache_fallback","43","40","93.0"
"bcp_gpt41_seed7","P4-Hybrid","cache_hit_no_hint","28","23","82.1"
"bcp_gpt41_seed7","P4-Hybrid","cache_miss","64","44","68.8"
"bcp_gpt41_seed7","P4-Hybrid","cache_verified","63","63","100.0"
"bcp_gpt41_seed7","P4-Hybrid","unknown","2","0","0.0"
"bcp_gpt41_seed100","P3-AC","ac_only","200","164","82.0"
"bcp_gpt41_seed100","P3-Hybrid","cache_fallback","4","3","75.0"
"bcp_gpt41_seed100","P3-Hybrid","cache_hit_no_hint","14","14","100.0"
"bcp_gpt41_seed100","P3-Hybrid","cache_miss","77","46","59.7"
"bcp_gpt41_seed100","P3-Hybrid","cache_verified","100","98","98.0"
"bcp_gpt41_seed100","P3-Hybrid","unknown","5","0","0.0"
"bcp_gpt41_seed100","P4-AC","ac_only","200","145","72.5"
"bcp_gpt41_seed100","P4-Hybrid","cache_fallback","26","22","84.6"
"bcp_gpt41_seed100","P4-Hybrid","cache_hit_no_hint","40","29","72.5"
"bcp_gpt41_seed100","P4-Hybrid","cache_miss","81","52","64.2"
"bcp_gpt41_seed100","P4-Hybrid","cache_verified","52","52","100.0"
"bcp_gpt41_seed100","P4-Hybrid","unknown","1","0","0.0"
"bcp_gpt4o","P3-AC","ac_only","200","152","76.0"
"bcp_gpt4o","P3-Hybrid","cache_fallback","10","6","60.0"
"bcp_gpt4o","P3-Hybrid","cache_hit_no_hint","13","13","100.0"
"bcp_gpt4o","P3-Hybrid","cache_miss","82","39","47.6"
"bcp_gpt4o","P3-Hybrid","cache_verified","95","93","97.9"
"bcp_gpt4o","P4-AC","ac_only","200","125","62.5"
"bcp_gpt4o","P4-Hybrid","cache_fallback","32","26","81.2"
"bcp_gpt4o","P4-Hybrid","cache_hit_no_hint","19","13","68.4"
"bcp_gpt4o","P4-Hybrid","cache_miss","82","39","47.6"
"bcp_gpt4o","P4-Hybrid","cache_verified","67","66","98.5"
"base_qasper_oracle","AC-LC","cache_hit","72","63","87.5"
"base_qasper_oracle","AC-LC","cache_miss","128","50","39.1"
"base_qasper_oracle","HGC-LC","cache_fallback","13","10","76.9"
"base_qasper_oracle","HGC-LC","cache_miss","128","49","38.3"
"base_qasper_oracle","HGC-LC","cache_verified","59","58","98.3"
"base_qasper_oracle","C-AC-LC","cache_hit","72","49","68.1"
"base_qasper_oracle","C-AC-LC","cache_miss","128","47","36.7"
"base_qasper_oracle","C-HGC-LC","cache_fallback","33","27","81.8"
"base_qasper_oracle","C-HGC-LC","cache_miss","128","47","36.7"
"base_qasper_oracle","C-HGC-LC","cache_verified","39","39","100.0"
"base_qasper_rag","AC-RAG","cache_hit","116","106","91.4"
"base_qasper_rag","AC-RAG","cache_miss","84","10","11.9"
"base_qasper_rag","HGC-RAG","cache_fallback","12","7","58.3"
"base_qasper_rag","HGC-RAG","cache_miss","84","13","15.5"
"base_qasper_rag","HGC-RAG","cache_verified","104","97","93.3"
"base_qasper_rag","C-AC-RAG","cache_hit","116","83","71.6"
"base_qasper_rag","C-AC-RAG","cache_miss","84","11","13.1"
"base_qasper_rag","C-HGC-RAG","cache_fallback","42","37","88.1"
"base_qasper_rag","C-HGC-RAG","cache_miss","84","11","13.1"
"base_qasper_rag","C-HGC-RAG","cache_verified","74","67","90.5"
"base_finbench_lc","AC-LC","cache_hit","107","106","99.1"
"base_finbench_lc","AC-LC","cache_miss","43","24","55.8"
"base_finbench_lc","HGC-LC","cache_fallback","17","16","94.1"
"base_finbench_lc","HGC-LC","cache_miss","43","23","53.5"
"base_finbench_lc","HGC-LC","cache_verified","90","89","98.9"
"base_finbench_lc","C-AC-LC","cache_hit","107","84","78.5"
"base_finbench_lc","C-AC-LC","cache_miss","43","23","53.5"
"base_finbench_lc","C-HGC-LC","cache_fallback","48","45","93.8"
"base_finbench_lc","C-HGC-LC","cache_miss","43","23","53.5"
"base_finbench_lc","C-HGC-LC","cache_verified","59","59","100.0"
